## libdrm is super special, sonames have to be altered
## big mess, but allows everything except libdrm-dev to be
## co-installable with old libdrm
#libdrm-dev			libdrm-dev-lts-saucy
#libdrm2				libdrm-ltss2
#libdrm-intel1			libdrm-ltss-intel1
#libdrm-omap1			libdrm-ltss-omap1
#libdrm-nouveau2			libdrm-ltss-nouveau2
#libdrm-radeon1			libdrm-ltss-radeon1
#libkms1				libkms-ltss1

# wayland
libwayland-client0		libwayland-ltss-client0
libwayland-cursor0		libwayland-ltss-cursor0
libwayland-server0		libwayland-ltss-server0
libwayland-dev			libwayland-dev-lts-saucy

# mesa
libgl1-mesa-dev			libgl1-mesa-dev-lts-saucy
mesa-common-dev			mesa-common-dev-lts-saucy
libxatracker-dev		libxatracker-dev-lts-saucy
libgl1-mesa-dri			libgl1-mesa-dri-lts-saucy
libgl1-mesa-glx			libgl1-mesa-glx-lts-saucy
libgl1-mesa-dri-experimental	libgl1-mesa-dri-lts-saucy

# xserver-xorg package, only necessary ones
xserver-xorg-dev		xserver-xorg-dev-lts-saucy
xserver-xorg-core		xserver-xorg-core-lts-saucy
xserver-xorg-core-udeb		xserver-xorg-core-udeb-lts-saucy
xserver-common			xserver-common-lts-saucy

# xorg package, with xorg, *-video-all and *-input-all
xorg				xorg-lts-saucy

#evil blobs, might not need a big update
#fglrx-dev				fglrx-dev-lts-saucy
#nvidia-current-dev			nvidia-current-dev-lts-saucy
#nvidia-173-dev				nvidia-173-dev-lts-saucy
#nvidia-96-dev				nvidia-96-dev-lts-saucy
#nvidia-current-updates-dev		nvidia-current-updates-dev-lts-saucy

# DDX and other drivers
xf86-input-mtrack			xf86-input-mtrack-lts-saucy
xserver-xorg-input-mtrack		xserver-xorg-input-mtrack-lts-saucy
xf86-input-wacom			xf86-input-wacom-lts-saucy
xserver-xorg-input-wacom		xserver-xorg-input-wacom-lts-saucy
#xf86-video-msm				xf86-video-msm-lts-saucy
#xserver-xorg-video-msm			xserver-xorg-video-msm-lts-saucy
#xf86-video-omap			xf86-video-omap-lts-saucy
#xserver-xorg-video-omap		xserver-xorg-video-omap-lts-saucy

xserver-xorg-input-evdev		xserver-xorg-input-evdev-lts-saucy
xserver-xorg-input-evdev-dev		xserver-xorg-input-evdev-dev-lts-saucy
xserver-xorg-input-joystick-dev		xserver-xorg-input-joystick-dev-lts-saucy
xserver-xorg-input-keyboard		xserver-xorg-input-keyboard-lts-saucy
xserver-xorg-input-mouse		xserver-xorg-input-mouse-lts-saucy
xserver-xorg-input-synaptics-dev	xserver-xorg-input-synaptics-dev-lts-saucy
xserver-xorg-input-vmmouse		xserver-xorg-input-vmmouse-lts-saucy
xserver-xorg-input-void			xserver-xorg-input-void-lts-saucy

xserver-xorg-video-ati			xserver-xorg-video-ati-lts-saucy
xserver-xorg-video-cirrus		xserver-xorg-video-cirrus-lts-saucy
xserver-xorg-video-dummy		xserver-xorg-video-dummy-lts-saucy
xserver-xorg-video-fbdev		xserver-xorg-video-fbdev-lts-saucy
xserver-xorg-video-geode		xserver-xorg-video-geode-lts-saucy
xserver-xorg-video-intel		xserver-xorg-video-intel-lts-saucy
xserver-xorg-video-mach64		xserver-xorg-video-mach64-lts-saucy
xserver-xorg-video-mach64-dbg		xserver-xorg-video-mach64-lts-saucy-dbg
xserver-xorg-video-mga			xserver-xorg-video-mga-lts-saucy
xserver-xorg-video-modesetting		xserver-xorg-video-modesetting-lts-saucy
xserver-xorg-video-neomagic		xserver-xorg-video-neomagic-lts-saucy
xserver-xorg-video-nouveau		xserver-xorg-video-nouveau-lts-saucy
xserver-xorg-video-openchrome		xserver-xorg-video-openchrome-lts-saucy
#xserver-xorg-video-qxl -- Removed, requires a new libspice-dev to build
xserver-xorg-video-r128			xserver-xorg-video-r128-lts-saucy
xserver-xorg-video-r128-dbg		xserver-xorg-video-r128-lts-saucy-dbg
xserver-xorg-video-s3			xserver-xorg-video-s3-lts-saucy
xserver-xorg-video-savage		xserver-xorg-video-savage-lts-saucy
xserver-xorg-video-siliconmotion	xserver-xorg-video-siliconmotion-lts-saucy
xserver-xorg-video-sis			xserver-xorg-video-sis-lts-saucy
xserver-xorg-video-sisusb		xserver-xorg-video-sisusb-lts-saucy
xserver-xorg-video-tdfx			xserver-xorg-video-tdfx-lts-saucy
xserver-xorg-video-trident		xserver-xorg-video-trident-lts-saucy
xserver-xorg-video-vesa			xserver-xorg-video-vesa-lts-saucy
xserver-xorg-video-vmware		xserver-xorg-video-vmware-lts-saucy

# Bonus series, I would still rather have this sru'd back to precise rather
# than renaming, but meh, not like it will happen.
libxrandr2				libxrandr-ltss2
libxrandr-dev				libxrandr-dev-lts-saucy
x11-xserver-utils			x11-xserver-utils-lts-saucy
