## libdrm is super special, sonames have to be altered
## big mess, but allows everything except libdrm-dev to be
## co-installable with old libdrm
#libdrm-dev			libdrm-dev-lts-trusty
#libdrm2				libdrm-ltst2
#libdrm-intel1			libdrm-ltst-intel1
#libdrm-omap1			libdrm-ltst-omap1
#libdrm-nouveau2			libdrm-ltst-nouveau2
#libdrm-radeon1			libdrm-ltst-radeon1
#libkms1				libkms-ltst1

# wayland
libwayland-client0		libwayland-ltst-client0
libwayland-cursor0		libwayland-ltst-cursor0
libwayland-server0		libwayland-ltst-server0
libwayland-dev			libwayland-dev-lts-trusty

# mesa
libgl1-mesa-dev			libgl1-mesa-dev-lts-trusty
mesa-common-dev			mesa-common-dev-lts-trusty
libxatracker-dev		libxatracker-dev-lts-trusty
libgl1-mesa-dri			libgl1-mesa-dri-lts-trusty
libgl1-mesa-glx			libgl1-mesa-glx-lts-trusty
libgl1-mesa-dri-experimental	libgl1-mesa-dri-lts-trusty
libgbm-dev			libgbm-dev-lts-trusty
libegl1-mesa-dev		libegl1-mesa-dev-lts-trusty

# xserver-xorg package, only necessary ones
xserver-xorg-dev		xserver-xorg-dev-lts-trusty
xserver-xorg-core		xserver-xorg-core-lts-trusty
xserver-xorg-core-udeb		xserver-xorg-core-udeb-lts-trusty
xserver-common			xserver-common-lts-trusty

# xorg package, with xorg, *-video-all and *-input-all
xorg				xorg-lts-trusty

#evil blobs, might not need a big update
#fglrx-dev				fglrx-dev-lts-trusty
#nvidia-current-dev			nvidia-current-dev-lts-trusty
#nvidia-173-dev				nvidia-173-dev-lts-trusty
#nvidia-96-dev				nvidia-96-dev-lts-trusty
#nvidia-current-updates-dev		nvidia-current-updates-dev-lts-trusty

#glamor
libglamor0				libglamor-ltst0
libglamor-dev				libglamor-dev-lts-trusty
xserver-xorg-video-glamoregl		xserver-xorg-video-glamoregl-lts-trusty

# DDX and other drivers
xf86-input-mtrack			xf86-input-mtrack-lts-trusty
xserver-xorg-input-mtrack		xserver-xorg-input-mtrack-lts-trusty
xf86-input-wacom			xf86-input-wacom-lts-trusty
xserver-xorg-input-wacom		xserver-xorg-input-wacom-lts-trusty
#xf86-video-msm				xf86-video-msm-lts-trusty
#xserver-xorg-video-msm			xserver-xorg-video-msm-lts-trusty
#xf86-video-omap			xf86-video-omap-lts-trusty
#xserver-xorg-video-omap		xserver-xorg-video-omap-lts-trusty

xserver-xorg-input-evdev		xserver-xorg-input-evdev-lts-trusty
xserver-xorg-input-evdev-dev		xserver-xorg-input-evdev-dev-lts-trusty
xserver-xorg-input-joystick-dev		xserver-xorg-input-joystick-dev-lts-trusty
xserver-xorg-input-keyboard		xserver-xorg-input-keyboard-lts-trusty
xserver-xorg-input-mouse		xserver-xorg-input-mouse-lts-trusty
xserver-xorg-input-synaptics-dev	xserver-xorg-input-synaptics-dev-lts-trusty
xserver-xorg-input-vmmouse		xserver-xorg-input-vmmouse-lts-trusty
xserver-xorg-input-void			xserver-xorg-input-void-lts-trusty

xserver-xorg-video-ati			xserver-xorg-video-ati-lts-trusty
xserver-xorg-video-cirrus		xserver-xorg-video-cirrus-lts-trusty
xserver-xorg-video-dummy		xserver-xorg-video-dummy-lts-trusty
xserver-xorg-video-fbdev		xserver-xorg-video-fbdev-lts-trusty
xserver-xorg-video-geode		xserver-xorg-video-geode-lts-trusty
xserver-xorg-video-intel		xserver-xorg-video-intel-lts-trusty
xserver-xorg-video-mach64		xserver-xorg-video-mach64-lts-trusty
xserver-xorg-video-mach64-dbg		xserver-xorg-video-mach64-lts-trusty-dbg
xserver-xorg-video-mga			xserver-xorg-video-mga-lts-trusty
xserver-xorg-video-modesetting		xserver-xorg-video-modesetting-lts-trusty
xserver-xorg-video-neomagic		xserver-xorg-video-neomagic-lts-trusty
xserver-xorg-video-nouveau		xserver-xorg-video-nouveau-lts-trusty
xserver-xorg-video-openchrome		xserver-xorg-video-openchrome-lts-trusty
#xserver-xorg-video-qxl -- Removed, requires a new libspice-dev to build
xserver-xorg-video-r128			xserver-xorg-video-r128-lts-trusty
xserver-xorg-video-r128-dbg		xserver-xorg-video-r128-lts-trusty-dbg
xserver-xorg-video-s3			xserver-xorg-video-s3-lts-trusty
xserver-xorg-video-savage		xserver-xorg-video-savage-lts-trusty
xserver-xorg-video-siliconmotion	xserver-xorg-video-siliconmotion-lts-trusty
xserver-xorg-video-sis			xserver-xorg-video-sis-lts-trusty
xserver-xorg-video-sisusb		xserver-xorg-video-sisusb-lts-trusty
xserver-xorg-video-tdfx			xserver-xorg-video-tdfx-lts-trusty
xserver-xorg-video-trident		xserver-xorg-video-trident-lts-trusty
xserver-xorg-video-vesa			xserver-xorg-video-vesa-lts-trusty
xserver-xorg-video-vmware		xserver-xorg-video-vmware-lts-trusty

# Bonus series, I would still rather have this sru'd back to precise rather
# than renaming, but meh, not like it will happen.
libxrandr2				libxrandr-ltst2
libxrandr-dev				libxrandr-dev-lts-trusty
x11-xserver-utils			x11-xserver-utils-lts-trusty
