# mesa
libgl1-mesa-dev			libgl1-mesa-dev-lts-utopic
mesa-common-dev			mesa-common-dev-lts-utopic
libxatracker-dev		libxatracker-dev-lts-utopic
libgl1-mesa-dri			libgl1-mesa-dri-lts-utopic
libgl1-mesa-glx			libgl1-mesa-glx-lts-utopic
libgbm-dev			libgbm-dev-lts-utopic
libegl1-mesa-dev		libegl1-mesa-dev-lts-utopic

# xserver-xorg package, only necessary ones
xserver-xorg-dev		xserver-xorg-dev-lts-utopic
xserver-xorg-core		xserver-xorg-core-lts-utopic
xserver-xorg-core-udeb		xserver-xorg-core-udeb-lts-utopic

# xorg package, with xorg, *-video-all and *-input-all
xorg				xorg-lts-utopic

# DDX and other drivers, x86 only
xf86-input-mtrack			xf86-input-mtrack-lts-utopic
xserver-xorg-input-mtrack		xserver-xorg-input-mtrack-lts-utopic
xf86-input-wacom			xf86-input-wacom-lts-utopic
xserver-xorg-input-wacom		xserver-xorg-input-wacom-lts-utopic

xserver-xorg-input-evdev		xserver-xorg-input-evdev-lts-utopic
xserver-xorg-input-evdev-dev		xserver-xorg-input-evdev-dev-lts-utopic
xserver-xorg-input-joystick-dev		xserver-xorg-input-joystick-dev-lts-utopic
xserver-xorg-input-keyboard		xserver-xorg-input-keyboard-lts-utopic
xserver-xorg-input-mouse		xserver-xorg-input-mouse-lts-utopic
xserver-xorg-input-synaptics-dev	xserver-xorg-input-synaptics-dev-lts-utopic
xserver-xorg-input-vmmouse		xserver-xorg-input-vmmouse-lts-utopic
xserver-xorg-input-void			xserver-xorg-input-void-lts-utopic

xserver-xorg-video-ati			xserver-xorg-video-ati-lts-utopic
xserver-xorg-video-cirrus		xserver-xorg-video-cirrus-lts-utopic
xserver-xorg-video-dummy		xserver-xorg-video-dummy-lts-utopic
xserver-xorg-video-fbdev		xserver-xorg-video-fbdev-lts-utopic
xserver-xorg-video-geode		xserver-xorg-video-geode-lts-utopic
xserver-xorg-video-intel		xserver-xorg-video-intel-lts-utopic
xserver-xorg-video-mach64		xserver-xorg-video-mach64-lts-utopic
xserver-xorg-video-mach64-dbg		xserver-xorg-video-mach64-lts-utopic-dbg
xserver-xorg-video-mga			xserver-xorg-video-mga-lts-utopic
xserver-xorg-video-modesetting		xserver-xorg-video-modesetting-lts-utopic
xserver-xorg-video-neomagic		xserver-xorg-video-neomagic-lts-utopic
xserver-xorg-video-nouveau		xserver-xorg-video-nouveau-lts-utopic
xserver-xorg-video-openchrome		xserver-xorg-video-openchrome-lts-utopic
xserver-xorg-video-qxl			xserver-xorg-video-qxl-lts-utopic
xserver-xorg-video-r128			xserver-xorg-video-r128-lts-utopic
xserver-xorg-video-r128-dbg		xserver-xorg-video-r128-lts-utopic-dbg
xserver-xorg-video-s3			xserver-xorg-video-s3-lts-utopic
xserver-xorg-video-savage		xserver-xorg-video-savage-lts-utopic
xserver-xorg-video-siliconmotion	xserver-xorg-video-siliconmotion-lts-utopic
xserver-xorg-video-sisusb		xserver-xorg-video-sisusb-lts-utopic
xserver-xorg-video-tdfx			xserver-xorg-video-tdfx-lts-utopic
xserver-xorg-video-trident		xserver-xorg-video-trident-lts-utopic
xserver-xorg-video-vesa			xserver-xorg-video-vesa-lts-utopic
xserver-xorg-video-vmware		xserver-xorg-video-vmware-lts-utopic
